1	1 1 4 6	4.38	99.2%	4.63	1.47
2	1 1 11 11	4.4	99.6%	4.66	1.44
3	1 1 3 8	4.43	99.2%	4.68	1.48
4	1 1 1 8	4.44	98.9%	4.64	1.25
5	6 6 6 6	4.58	99.5%	4.8	1.48
6	1 1 2 12	4.59	99.1%	4.91	1.56
7	1 2 2 6	4.78	99.2%	5.14	1.6
8	1 1 10 12	4.79	99.1%	5.04	1.55
9	1 1 1 12	4.82	99.2%	5.15	1.63
10	2 2 10 10	4.82	98.2%	5.11	1.62
11	1 1 2 8	4.93	97.8%	5.28	1.75
12	1 1 4 8	4.95	98.2%	5.33	1.83
13	4 6 11 11	4.96	98.9%	5.34	1.72
14	1 1 5 8	4.97	96.5%	5.36	1.83
15	1 1 12 12	4.99	99.3%	5.35	1.62
16	1 1 3 12	5	97.4%	5.34	1.83
17	1 1 4 12	5	97.5%	5.41	1.82
18	3 3 3 8	5	97.9%	5.36	1.78
19	2 2 2 12	5.01	99.1%	5.36	1.71
20	1 1 2 6	5.05	98.4%	5.37	1.6
21	11 11 12 12	5.05	98.7%	5.46	1.87
22	1 1 2 11	5.08	98.9%	5.39	1.7
23	1 2 3 4	5.08	99.1%	5.43	1.83
24	3 7 7 8	5.08	96.7%	5.46	1.89
25	1 1 2 13	5.13	98.7%	5.45	1.77
26	1 1 13 13	5.13	99.3%	5.42	1.64
27	1 2 4 12	5.13	97.7%	5.53	1.99
28	7 7 12 12	5.13	98.6%	5.52	1.85
29	1 1 3 6	5.15	97.7%	5.48	1.75
30	1 1 3 9	5.15	97.1%	5.48	1.85
31	4 6 7 7	5.15	98.6%	5.5	1.84
32	1 1 5 6	5.16	96.8%	5.58	2.02
33	1 1 11 13	5.2	99%	5.63	1.84
34	4 5 12 12	5.2	96.9%	5.57	1.79
35	2 11 11 12	5.21	97.1%	5.63	1.97
36	4 6 13 13	5.21	98.7%	5.59	1.77
37	1 6 6 12	5.22	98.7%	5.53	1.7
38	4 4 4 6	5.22	98.1%	5.58	1.94
39	12 12 12 12	5.23	99.3%	5.7	2.12
40	1 1 1 11	5.24	97.3%	5.53	1.64
41	2 7 7 12	5.25	98.7%	5.62	1.87
42	1 1 11 12	5.26	99.3%	5.64	1.79
43	1 5 7 12	5.27	98.3%	5.83	2.1
44	10 10 12 12	5.27	98.6%	5.68	1.87
45	1 8 8 8	5.29	97.7%	5.61	1.93
46	2 9 9 12	5.29	97.3%	5.7	1.99
47	3 8 13 13	5.29	94.9%	5.63	2.05
48	11 11 11 12	5.29	94.8%	5.58	1.98
49	2 2 3 8	5.31	98.1%	5.7	1.93
50	9 9 12 12	5.31	98.4%	5.81	2.1
51	1 1 4 5	5.33	97.7%	5.7	2
